"primaryName","birthYear","deathYear","nconst","nconst_short"
Jim Blackwell,"1876","1932",nm0085919,nm0085919
Augusta Blad,"1871","1953",nm0086003,nm0086003
Lujza Blaha,"1850","1926",nm0086082,nm0086082
Evangeline Blaisdell,\N,\N,nm0086423,nm0086423
Alva D. Blake,"1887","1966",nm0086461,nm0086461
Loretta Blake,"1898","1981",nm0086632,nm0086632
Mrs. A.D. Blake,\N,\N,nm0086666,nm0086666
Harry Blakemore,"1859","1936",nm0086816,nm0086816
Señora Blana,\N,\N,nm0086908,nm0086908
Luis Blanca,\N,\N,nm0086982,nm0086982
Eleanor Blanchard,"1886",\N,nm0087051,nm0087051
August Blanche,"1811","1868",nm0087119,nm0087119
Enrique Blanco,\N,\N,nm0087250,nm0087250
R. Henderson Bland,"1876","1941",nm0087381,nm0087381
Clara Blandick,"1876","1962",nm0087404,nm0087404
Charles E. Blaney,"1866","1944",nm0087445,nm0087445
May Blaney,"1875","1953",nm0087451,nm0087451
Vicente Blasco Ibáñez,"1867","1928",nm0087658,nm0087658
Harriot Stanton Blatch,"1858","1940",nm0087797,nm0087797
Christine Blessing,\N,\N,nm0088267,nm0088267
Billy Bletcher,"1894","1979",nm0088285,nm0088285
Eleanor Blevins,"1894","1973",nm0088317,nm0088317
Holbrook Blinn,"1872","1928",nm0088476,nm0088476
Harriet Bloch,"1881","1975",nm0088618,nm0088618
Sheridan Block,"1853","1921",nm0088767,nm0088767
August Blom,"1869","1947",nm0088881,nm0088881
John Blom,"1885","1953",nm0088899,nm0088899
Frederick Vroom,"1857","1942",nm0089162,nm0089162
Henry Martyn Blossom,"1866","1919",nm0089342,nm0089342
Alf Blütecher,"1880","1959",nm0089939,nm0089939
John G. Blystone,"1892","1938",nm0090007,nm0090007
Rudolf Blümner,"1873","1945",nm0090104,nm0090104
True Boardman,"1880","1918",nm0090204,nm0090204
True Boardman,"1909","2003",nm0090205,nm0090205
Virginia True Boardman,"1889","1971",nm0090207,nm0090207
Frida Boch,\N,\N,nm0090575,nm0090575
Frederick Bock,"1846","1916",nm0090649,nm0090649
Béla Bodonyi,"1884","1971",nm0091058,nm0091058
Axel Boesen,"1879","1957",nm0091386,nm0091386
Hermann Boettger,"1878","1946",nm0091426,nm0091426
Francis Boggs,"1870","1911",nm0091767,nm0091767
Gunnar Bohman,"1882","1963",nm0092083,nm0092083
Curt Bois,"1901","1991",nm0092290,nm0092290
Ilse Bois,"1896","1961",nm0092294,nm0092294
Arrigo Boito,"1842","1918",nm0092435,nm0092435
Eddie Boland,"1885","1935",nm0092665,nm0092665
Robert Bolder,"1859","1937",nm0092780,nm0092780
Rolf Boldrewood,"1826","1915",nm0092809,nm0092809
Florence Bolles,"1888","1962",nm0093113,nm0093113
Heinrich Bolten-Baeckers,"1871","1938",nm0093361,nm0093361
Lucile Bolton,\N,\N,nm0093419,nm0093419
Lucille Bolton,\N,\N,nm0093420,nm0093420
Alessandro Bona,\N,\N,nm0093646,nm0093646
R.L. Bond,\N,\N,nm0094017,nm0094017
Raymond Bond,"1885","1972",nm0094022,nm0094022
William Bonelli,\N,\N,nm0094272,nm0094272
Emiliano Bonetti,"1874","1937",nm0094343,nm0094343
Bessie Boniel,\N,\N,nm0094563,nm0094563
Ferdinand Bonn,"1861","1933",nm0094766,nm0094766
Mario Bonnard,"1889","1965",nm0094801,nm0094801
Max Bonnet,\N,\N,nm0094975,nm0094975
Harry Booker,"1850","1924",nm0095383,nm0095383
Elmer Booth,"1882","1915",nm0095695,nm0095695
Herbert Booth,"1862","1926",nm0095714,nm0095714
Sydney Booth,"1873","1937",nm0095809,nm0095809
Walter R. Booth,"1869","1938",nm0095816,nm0095816
Joe Bordeaux,"1886","1950",nm0096094,nm0096094
Lyda Borelli,"1884","1959",nm0096330,nm0096330
Luigi Romano Borgnetto,"1881","1957",nm0096705,nm0096705
Hilda Borgström,"1871","1953",nm0096737,nm0096737
Rita Bori,\N,\N,nm0096758,nm0096758
Edwin Boring,"1868","1923",nm0096786,nm0096786
Jaime Borrás,\N,\N,nm0097421,nm0097421
Frank Borzage,"1894","1962",nm0097648,nm0097648
Annie Bos,"1886","1975",nm0097670,nm0097670
Alberto Bosch,\N,\N,nm0097743,nm0097743
José María Bosch,\N,\N,nm0097769,nm0097769
Romeo Bosetti,"1879","1948",nm0097918,nm0097918
Yale Boss,"1899","1977",nm0098089,nm0098089
Edith Bostwick,"1882","1943",nm0098307,nm0098307
Elwood Fleet Bostwick,"1878","1953",nm0098308,nm0098308
Herbert Bostwick,\N,\N,nm0098310,nm0098310
Phyllis Bostwick,\N,\N,nm0098314,nm0098314
Hobart Bosworth,"1867","1943",nm0098376,nm0098376
Alberto Botelho,"1885","1973",nm0098427,nm0098427
Aaf Bouber,"1885","1974",nm0098834,nm0098834
Dion Boucicault,"1822","1890",nm0099105,nm0099105
Louis-Jacques Boucot,"1882","1949",nm0099116,nm0099116
Edward Boulden,"1879","1937",nm0099479,nm0099479
Ernest Bourbon,"1886","1954",nm0099733,nm0099733
Arthur Bourchier,"1863","1927",nm0099754,nm0099754
Gérard Bourgeois,"1874","1944",nm0099901,nm0099901
Fannie Bourke,"1886","1959",nm0100006,nm0100006
René Poyen,"1908","1968",nm0100270,nm0100270
Louis Bouwmeester,"1842","1925",nm0100479,nm0100479
Oscar Bovill,"1891","1975",nm0100622,nm0100622
Berthe Bovy,"1887","1977",nm0100664,nm0100664
Billy Bowers,\N,\N,nm0101031,nm0101031
John Bowers,"1885","1936",nm0101071,nm0101071
Lawrence A. Bowes,"1885","1955",nm0101135,nm0101135
Virginia Bowker,\N,\N,nm0101182,nm0101182
Palmer Bowman,"1885","1933",nm0101373,nm0101373
William Bowman,"1884","1960",nm0101413,nm0101413
Marie Boyd,\N,\N,nm0101852,nm0101852
Storm Boyd,"1885","1919",nm0101923,nm0101923
William 'Stage' Boyd,"1889","1935",nm0101954,nm0101954
Irene Boyle,"1890","1976",nm0102249,nm0102249
Bozo,\N,\N,nm0102510,nm0102510
Charles Brabin,"1882","1957",nm0102643,nm0102643
Sidney Bracey,"1877","1942",nm0102718,nm0102718
Bertram Bracken,"1880","1952",nm0102783,nm0102783
Mildred Bracken,"1896","1964",nm0102799,nm0102799
Clara T. Bracy,"1848","1941",nm0102858,nm0102858
James Bradbury Sr.,"1857","1940",nm0102881,nm0102881
Mary Elizabeth Braddon,"1835","1915",nm0102935,nm0102935
Alma Bradley,\N,\N,nm0103130,nm0103130
Alice Brady,"1892","1939",nm0103567,nm0103567
Cyrus Townsend Brady,"1861","1920",nm0103597,nm0103597
Ed Brady,"1889","1942",nm0103619,nm0103619
Jasper Ewing Brady,"1866","1940",nm0103645,nm0103645
William A. Brady,"1863","1950",nm0103755,nm0103755
James Bragington,\N,\N,nm0103931,nm0103931
A.V. Bramble,"1884","1963",nm0104197,nm0104197
Jack Brammall,"1879",\N,nm0104251,nm0104251
Neil Brand,\N,\N,nm0104506,nm0104506
F. Marion Brandon,\N,\N,nm0104764,nm0104764
Aage Brandt,"1889","1970",nm0104856,nm0104856
Charles Brandt,"1862","1924",nm0104892,nm0104892
Lily Branscombe,"1876","1970",nm0105201,nm0105201
Albert Bras,"1865","1942",nm0105331,nm0105331
Eduardo Brazão,"1851","1925",nm0105501,nm0105501
Gertrude Braun,\N,\N,nm0105767,nm0105767
Otto Brautigan,"1877",\N,nm0105980,nm0105980
Jack Brawn,"1869","1943",nm0106151,nm0106151
John Randolph Bray,"1879","1978",nm0106218,nm0106218
Margaret Bray,\N,\N,nm0106234,nm0106234
Ben Breakstone,\N,\N,nm0106426,nm0106426
Nikolai Brechling,"1883","1935",nm0106514,nm0106514
Edmund Breese,"1871","1936",nm0106785,nm0106785
Axel Breidahl,"1876","1948",nm0106898,nm0106898
Alfred Breiderhoff,"1881","1916",nm0106902,nm0106902
Joseph Carl Breil,"1870","1926",nm0106922,nm0106922
Otto Breitkreutz,"1866","1928",nm0106990,nm0106990
Edward Brennan,\N,\N,nm0107279,nm0107279
Marjorie Brenner,"1893","1979",nm0107494,nm0107494
Herbert Brenon,"1880","1958",nm0107543,nm0107543
Evelyn Brent,"1899","1975",nm0107574,nm0107574
Edmund Breon,"1882","1953",nm0107631,nm0107631
Otto Breslin,\N,\N,nm0107745,nm0107745
Mervyn A. Breslauer,"1884",\N,nm0107750,nm0107750
Lou Breslow,"1900","1987",nm0107756,nm0107756
Anna Bressman,\N,\N,nm0107816,nm0107816
Tom Bret,"1883","1945",nm0107838,nm0107838
Harold Brett,"1883","1950",nm0107940,nm0107940
Beta Breuil,"1876",\N,nm0108049,nm0108049
Grigore Brezeanu,"1892","1919",nm0108345,nm0108345
Betty Brice,"1888","1935",nm0108503,nm0108503
Al Bridge,"1891","1957",nm0108653,nm0108653
Winona Bridges,\N,\N,nm0108805,nm0108805
Eugène Brieux,"1858","1932",nm0108961,nm0108961
Yvonne Briey,\N,\N,nm0108965,nm0108965
Gladys Briggs,\N,\N,nm0109030,nm0109030
Texas George Briggs,\N,\N,nm0109088,nm0109088
Wellington Briggs,"1873","1956",nm0109096,nm0109096
Mildred Bright,"1892","1967",nm0109167,nm0109167
Jeanne Brindeau,"1860","1946",nm0109469,nm0109469
Lottie Briscoe,"1883","1950",nm0109800,nm0109800
Ninita Bristow,"1892","1973",nm0109953,nm0109953
George Broadhurst,"1866","1952",nm0110394,nm0110394
Billie Brockwell,"1875","1949",nm0110752,nm0110752
Gladys Brockwell,"1894","1929",nm0110755,nm0110755
Robert Broderick,"1864","1921",nm0110838,nm0110838
John van den Broek,"1895","1918",nm0111105,nm0111105
H. Lyman Broening,"1892","1983",nm0111130,nm0111130
Mrs. Owen Bronson,"1874","1953",nm0111531,nm0111531
Charlotte Brontë,"1816","1855",nm0111576,nm0111576
Van Dyke Brooke,"1859","1921",nm0111753,nm0111753
B.R. Brooker,\N,\N,nm0111762,nm0111762
Irving Brooks,"1876",\N,nm0112030,nm0112030
Marion Brooks,\N,\N,nm0112130,nm0112130
Nellie Brooks,\N,\N,nm0112171,nm0112171
Valentine Brouat,\N,\N,nm0112631,nm0112631
Carl Browallius,"1868","1944",nm0112867,nm0112867
Robert Brower,"1850","1934",nm0112898,nm0112898
Betty Brown,"1896","1975",nm0113108,nm0113108
Charles Brown,\N,\N,nm0113224,nm0113224
Judge Willis Brown,"1882","1931",nm0113923,nm0113923
Maxine Brown,"1897","1956",nm0114240,nm0114240
Milton Brown,"1895","1948",nm0114307,nm0114307
William H. Brown,"1866","1924",nm0114914,nm0114914
Winona Brown,\N,\N,nm0114927,nm0114927
Harry C. Browne,"1878","1954",nm0115005,nm0115005
Kathryn Browne-Decker,"1883","1919",nm0115099,nm0115099
John C. Brownell,"1877","1961",nm0115115,nm0115115
Elizabeth Barrett Browning,"1806","1861",nm0115160,nm0115160
Ethel Browning,"1877","1965",nm0115162,nm0115162
Robert Browning,"1812","1889",nm0115203,nm0115203
Tod Browning,"1880","1962",nm0115218,nm0115218
Will Browning,\N,\N,nm0115221,nm0115221
Frank Brownlee,"1874","1948",nm0115230,nm0115230
Clifford Bruce,"1885","1919",nm0115446,nm0115446
Cyril Bruce,\N,\N,nm0115450,nm0115450
Kate Bruce,"1860","1946",nm0115524,nm0115524
Jules Brulatour,"1870","1946",nm0115873,nm0115873
Ole Brun Lie,\N,\N,nm0115982,nm0115982
Fritzi Brunette,"1890","1943",nm0116227,nm0116227
Julia Bruns,"1895","1927",nm0116569,nm0116569
George Brunton,\N,\N,nm0116636,nm0116636
William Brunton,"1883","1965",nm0116643,nm0116643
Cajus Bruun,"1866","1919",nm0116796,nm0116796
Ruth Bryan,\N,\N,nm0117008,nm0117008
Beryl Bryant,"1893","1973",nm0117051,nm0117051
Charles Bryant,"1879","1948",nm0117065,nm0117065
George Bryant,"1865","1943",nm0117110,nm0117110
Jimmy Bryant,\N,\N,nm0117131,nm0117131
Jack Bryce,\N,\N,nm0117291,nm0117291
Alfred Brydone,"1863","1920",nm0117344,nm0117344
Paule Bréval,\N,\N,nm0117607,nm0117607
Sándor Bródy,"1863","1924",nm0117620,nm0117620
Alfons Brümmer,\N,\N,nm0117719,nm0117719
Donald I. Buchanan,"1887","1928",nm0117997,nm0117997
Lillian Buchanan,\N,\N,nm0118043,nm0118043
José Buchs,"1896","1973",nm0118272,nm0118272
Charles Neville Buck,"1879","1957",nm0118329,nm0118329
Hazel Buckham,"1888","1959",nm0118472,nm0118472
Frank M. Buckland,\N,\N,nm0118523,nm0118523
Warwick Buckland,"1863","1945",nm0118537,nm0118537
J.P. Buckley,\N,\N,nm0118613,nm0118613
Walter Buckstone,"1886","1963",nm0118781,nm0118781
Jan Buderman,"1851","1920",nm0118974,nm0118974
J. Barstow Budworth,\N,\N,nm0119088,nm0119088
Kenean Buel,"1880","1948",nm0119138,nm0119138
Edith Buemann,"1879","1968",nm0119164,nm0119164
Gottfried August Bürger,"1747","1794",nm0119279,nm0119279
Richard Buhler,"1876","1925",nm0119569,nm0119569
Jack Bulger,\N,\N,nm0119906,nm0119906
Short Bull,\N,\N,nm0119998,nm0119998
Edward George Bulwer-Lytton,"1803","1873",nm0120272,nm0120272
Charles E. Bunnell,\N,\N,nm0120518,nm0120518
George Bunny,"1867","1952",nm0120541,nm0120541
John Bunny,"1863","1915",nm0120544,nm0120544
S. Walter Bunting,\N,\N,nm0120581,nm0120581
Gelett Burgess,"1866","1951",nm0121291,nm0121291
William Burress,"1867","1948",nm0121364,nm0121364
Theodor Burghardt,"1869",\N,nm0121391,nm0121391
Hans Burk,\N,\N,nm0121549,nm0121549
J. Frank Burke,"1867","1918",nm0121706,nm0121706
Winifred Burke,\N,\N,nm0121908,nm0121908
Augusta Burmeister,"1860","1934",nm0122220,nm0122220
Frances Hodgson Burnett,"1849","1924",nm0122364,nm0122364
Lois Burnett,\N,\N,nm0122402,nm0122402
Rexford Burnett,"1893","1971",nm0122424,nm0122424
Clara Louise Burnham,"1854","1927",nm0122494,nm0122494
Beulah Burns,"1908","1970",nm0122581,nm0122581
Bob Burns,"1884","1957",nm0122590,nm0122590
Bobby Burns,"1878","1966",nm0122594,nm0122594
Frank Burns,\N,\N,nm0122665,nm0122665
Fred Burns,"1878","1955",nm0122668,nm0122668
Jack Burns,\N,\N,nm0122697,nm0122697
Lillian Burns,"1903","1998",nm0122764,nm0122764
Neal Burns,"1892","1969",nm0122817,nm0122817
Thelma Burns,"1910","2004",nm0122896,nm0122896
Vinnie Burns,"1897","1969",nm0122918,nm0122918
William J. Burns,"1861","1932",nm0122933,nm0122933
Louis Burstein,"1878","1923",nm0123376,nm0123376
Charlotte Burton,"1881","1942",nm0123540,nm0123540
Clarence Burton,"1882","1933",nm0123548,nm0123548
Ethel Marie Burton,"1897","1985",nm0123576,nm0123576
Frederick Burton,"1871","1957",nm0123579,nm0123579
John Burton,"1853","1920",nm0123623,nm0123623
Ned Burton,"1850","1922",nm0123679,nm0123679
W.H. Burton,"1844","1926",nm0123763,nm0123763
A.H. Busby,"1876","1922",nm0123887,nm0123887
Mae Busch,"1891","1946",nm0123994,nm0123994
Pauline Bush,"1886","1969",nm0124189,nm0124189
W. Stephen Bush,\N,\N,nm0124222,nm0124222
Francis X. Bushman,"1883","1966",nm0124279,nm0124279
David Butler,"1894","1979",nm0124877,nm0124877
Ellis Parker Butler,"1869","1937",nm0124909,nm0124909
Jim Butler,\N,\N,nm0124975,nm0124975
Kathleen Butler,"1890","1978",nm0125000,nm0125000
William J. Butler,"1860","1927",nm0125164,nm0125164
Johnny Butt,"1878","1931",nm0125227,nm0125227
Artur Buxens,\N,\N,nm0125509,nm0125509
Lord Byron,"1788","1824",nm0126406,nm0126406
Oliver Doud Byron,"1842","1920",nm0126418,nm0126418
Royal Byron,"1887","1943",nm0126425,nm0126425
István Bársony,"1882","1956",nm0126594,nm0126594
József Bécsi,"1884","1947",nm0126723,nm0126723
Jeanne Bérangère,"1864","1928",nm0126885,nm0126885
Christy Cabanne,"1888","1950",nm0127511,nm0127511
Andrés Cabot Puig,\N,\N,nm0127674,nm0127674
Señor Cabruja,\N,\N,nm0127915,nm0127915
Arthur A. Cadwell,"1879","1930",nm0128314,nm0128314
Lily Cahill,"1885","1955",nm0128633,nm0128633
Robert Cain,"1886","1954",nm0128954,nm0128954
Hall Caine,"1853","1931",nm0128991,nm0128991
Eleanor Caines,"1870","1913",nm0129017,nm0129017
Sigrid Calamnius,"1866","1947",nm0129300,nm0129300
Arthur Cadwell Jr.,"1909","2000",nm0129661,nm0129661
Julia Calhoun,"1870",\N,nm0129923,nm0129923
D. Callam,\N,\N,nm0130269,nm0130269
Helen Gammeltoft,"1895",\N,nm0130441,nm0130441
Gustaf Callmén,"1842","1915",nm0130547,nm0130547
Emily Calloway,\N,\N,nm0130576,nm0130576
André Calmettes,"1861","1942",nm0130633,nm0130633
Charles Calvert,\N,"1957",nm0130791,nm0130791
E.H. Calvert,"1863","1941",nm0130797,nm0130797
Ricardo Calvo,"1875","1966",nm0130986,nm0130986
Walter Cameron,"1872","1942",nm0131750,nm0131750
Salvatore Cammarano,"1801","1852",nm0131899,nm0131899
Austin Camp,"1882","1943",nm0131965,nm0131965
Ramón Campany,\N,\N,nm0132147,nm0132147
Colin Campbell,"1859","1928",nm0132324,nm0132324
Madge Campbell,"1885","1977",nm0132692,nm0132692
Richard Campbell,\N,\N,nm0132806,nm0132806
Webster Campbell,"1893","1972",nm0132926,nm0132926
Frank Campeau,"1864","1943",nm0132955,nm0132955
Carlo Campogalliani,"1885","1974",nm0133153,nm0133153
Adolphe Candé,"1858","1931",nm0133684,nm0133684
Tom Cannam,"1863","1951",nm0134042,nm0134042
Carles Capdevilla,\N,\N,nm0134984,nm0134984
Albert Capellani,"1874","1931",nm0135052,nm0135052
Paul Capellani,"1877","1960",nm0135053,nm0135053
Ruggero Capodaglio,"1880","1946",nm0135303,nm0135303
Wanda Capodaglio,"1889","1980",nm0135304,nm0135304
Alberto Capozzi,"1886","1945",nm0135421,nm0135421
Dante Cappelli,\N,\N,nm0135493,nm0135493
Adela Carboné,"1890","1960",nm0136241,nm0136241
António Cardoso,\N,\N,nm0136615,nm0136615
Denton Cardow,\N,\N,nm0136706,nm0136706
Edwin Carewe,"1883","1940",nm0136888,nm0136888
Olive Carey,"1896","1988",nm0137010,nm0137010
Renée Carl,"1875","1954",nm0137288,nm0137288
Joseph Carle,\N,\N,nm0137348,nm0137348
Herbert Oswald Carleton,"1887","1962",nm0137399,nm0137399
John T. Carleton,\N,\N,nm0137403,nm0137403
Lloyd B. Carleton,"1872","1933",nm0137407,nm0137407
Will Carleton,"1845","1912",nm0137414,nm0137414
William T. Carleton,"1859","1930",nm0137416,nm0137416
Philip Carli,\N,\N,nm0137458,nm0137458
Traute Carlsen,"1887","1968",nm0137854,nm0137854
Wallace A. Carlson,"1894","1967",nm0138043,nm0138043
Lewis Carlton,\N,\N,nm0138206,nm0138206
Francis Carlyle,"1868","1916",nm0138272,nm0138272
Richard Carlyle,"1879","1942",nm0138288,nm0138288
Jewel Carmen,"1897","1984",nm0138386,nm0138386
Maria Carmi,"1880","1957",nm0138409,nm0138409
Augustus Carney,"1870","1920",nm0138771,nm0138771
Lucille Carney,\N,\N,nm0138822,nm0138822
M.F. Carney,\N,\N,nm0138823,nm0138823
Edward Childs Carpenter,"1872","1950",nm0139321,nm0139321
Elizabeth R. Carpenter,\N,\N,nm0139324,nm0139324
Horace B. Carpenter,"1875","1945",nm0139356,nm0139356
Merta Carpenter,\N,\N,nm0139417,nm0139417
Catherine Carr,"1880","1941",nm0139636,nm0139636
Dixie Carr,"1891",\N,nm0139683,nm0139683
Harry Carr,"1877","1936",nm0139714,nm0139714
Mary Carr,"1874","1973",nm0139794,nm0139794
Francisco Carrasco,\N,\N,nm0140040,nm0140040
Joaquín Carrasco,\N,"1968",nm0140054,nm0140054
Thomas Carrigan,"1886","1941",nm0140452,nm0140452
Elaine S. Carrington,"1891","1958",nm0140562,nm0140562
Murray Carrington,"1885","1941",nm0140584,nm0140584
James Carroll,\N,\N,nm0140842,nm0140842
James C. Carroll,\N,\N,nm0140844,nm0140844
Lewis Carroll,"1832","1898",nm0140902,nm0140902
William A. Carroll,"1875","1928",nm0141035,nm0141035
Ben Carré,"1883","1978",nm0141135,nm0141135
Michel Carré,"1865","1945",nm0141150,nm0141150
Robert L. Carson,"1875","1961",nm0141315,nm0141315
Alberto G. Carta,\N,\N,nm0141399,nm0141399
Catherine Carter,\N,\N,nm0141515,nm0141515
Charles Carter,\N,\N,nm0141521,nm0141521
Harry Carter,"1879","1952",nm0141650,nm0141650
William Courtright,"1848","1933",nm0142215,nm0142215
Louise Carver,"1869","1956",nm0142567,nm0142567
Henry Carvill,"1866","1941",nm0142597,nm0142597
Giovanni Casaleggio,"1876","1955",nm0142821,nm0142821
Roberto Casaux,"1885","1929",nm0143083,nm0143083
Alberto Casañal,\N,\N,nm0143096,nm0143096
Helen Case,"1885","1977",nm0143212,nm0143212
Maria Caserini,\N,"1969",nm0143332,nm0143332
Mario Caserini,"1874","1920",nm0143333,nm0143333
Kenneth Casey,"1899","1965",nm0143460,nm0143460
Harry Cashman,"1869","1912",nm0143655,nm0143655
Karen Caspersen,"1890","1941",nm0143865,nm0143865
Joe Cassidy,"1862","1945",nm0144207,nm0144207
Dolores Cassinelli,"1888","1984",nm0144293,nm0144293
William Castelet,\N,\N,nm0144622,nm0144622
Bruto Castellani,"1888","1933",nm0144663,nm0144663
Salvador Castelló,\N,\N,nm0144863,nm0144863
Camilo Castelo Branco,"1825","1890",nm0144876,nm0144876
Barbara Castleton,"1894","1978",nm0145359,nm0145359
Juan Catalá,\N,\N,nm0145909,nm0145909
Manuel Catalán,\N,\N,nm0145924,nm0145924
Carolina Catena,\N,\N,nm0146028,nm0146028
Bill Cato,"1887","1965",nm0146223,nm0146223
Amelia Cattaneo,\N,\N,nm0146331,nm0146331
Carlo Cattaneo,\N,\N,nm0146335,nm0146335
Lina Cavalieri,"1874","1944",nm0146796,nm0146796
William Cavanaugh,"1874","1936",nm0146957,nm0146957
Glen Cavender,"1883","1962",nm0147070,nm0147070
Al Cawood,"1880","1960",nm0147231,nm0147231
Edward Cecil,"1878","1940",nm0147692,nm0147692
Evelyn Cecil,"1883","1978",nm0147694,nm0147694
Nora Cecil,"1878","1951",nm0147704,nm0147704
Gucken Cederborg,"1881","1932",nm0147761,nm0147761
Torre Cederborg,"1879","1928",nm0147763,nm0147763
Domènec Ceret,"1865","1922",nm0148546,nm0148546
James Cerr,\N,\N,nm0148754,nm0148754
Del Cerro,\N,\N,nm0148791,nm0148791
Miguel de Cervantes y Saavedra,"1547","1616",nm0148859,nm0148859
César,\N,"1921",nm0149030,nm0149030
Cyril Chadwick,"1879","1955",nm0149477,nm0149477
Jack Chagnon,"1880","1912",nm0149600,nm0149600
Joseph S. Chailee,"1852","1924",nm0149694,nm0149694
William Chalfin,\N,\N,nm0149914,nm0149914
William Chamberlain,\N,\N,nm0150216,nm0150216
Riley Chamberlin,"1854","1917",nm0150264,nm0150264
William C. Chamberlin,\N,\N,nm0150269,nm0150269
C. Haddon Chambers,"1860","1921",nm0150292,nm0150292
Lyster Chambers,"1875","1947",nm0150389,nm0150389
Robert W. Chambers,"1865","1933",nm0150432,nm0150432
Anna Chance,"1879","1943",nm0151209,nm0151209
Harry Chandlee,"1882","1956",nm0151310,nm0151310
James Robert Chandler,"1860","1950",nm0151387,nm0151387
Lon Chaney,"1883","1930",nm0151606,nm0151606
Aleksandr Khanzhonkov,"1877","1945",nm0151946,nm0151946
Anna Alice Chapin,"1880","1920",nm0152156,nm0152156
Benjamin Chapin,"1872","1918",nm0152158,nm0152158
Frederick Chapin,"1873","1947",nm0152165,nm0152165
Syd Chaplin,"1885","1965",nm0152260,nm0152260
Blanche Chapman,"1851","1941",nm0152310,nm0152310
Charles Chapman,"1877","1944",nm0152323,nm0152323
Pyotr Chardynin,"1872","1934",nm0152826,nm0152826
Aleksandr Chargonin,\N,\N,nm0152888,nm0152888
John Charles,"1885","1921",nm0153062,nm0153062
Mary Charleson,"1890","1961",nm0153185,nm0153185
Colin Chase,"1886","1937",nm0153702,nm0153702
Charley Chase,"1893","1940",nm0153713,nm0153713
Fred Chaston,"1867",\N,nm0153965,nm0153965
Tom Chatterton,"1881","1952",nm0154184,nm0154184
Louis Chaudet,"1884","1965",nm0154267,nm0154267
Emile Chautard,"1864","1934",nm0154352,nm0154352
Jeanne Cheirel,"1869","1934",nm0154988,nm0154988
Dixie Chene,"1894","1972",nm0155493,nm0155493
George Randolph Chester,"1870","1924",nm0156318,nm0156318
